Tokens de algoritmo1.php (usuario: JohnUllaguari):

PHP_OPEN (<?php) - línea 4
CLASS (class) - línea 5
ID (Persona) - línea 5
LBRACE ({) - línea 5
PRIVATE (private) - línea 6
VARIABLE ($nombre) - línea 6
SEMICOLON (;) - línea 6
PRIVATE (private) - línea 7
VARIABLE ($edad) - línea 7
SEMICOLON (;) - línea 7
FUNCTION (function) - línea 9
ID (__construct) - línea 9
LPAREN (() - línea 9
VARIABLE ($nombre) - línea 9
COMMA (,) - línea 9
VARIABLE ($edad) - línea 9
RPAREN ()) - línea 9
LBRACE ({) - línea 9
VARIABLE ($this) - línea 10
MINUS (-) - línea 10
GT (>) - línea 10
ID (nombre) - línea 10
ASSIGN (=) - línea 10
VARIABLE ($nombre) - línea 10
SEMICOLON (;) - línea 10
VARIABLE ($this) - línea 11
MINUS (-) - línea 11
GT (>) - línea 11
ID (edad) - línea 11
ASSIGN (=) - línea 11
VARIABLE ($edad) - línea 11
SEMICOLON (;) - línea 11
RBRACE (}) - línea 12
PUBLIC (public) - línea 14
FUNCTION (function) - línea 14
ID (saludar) - línea 14
LPAREN (() - línea 14
RPAREN ()) - línea 14
LBRACE ({) - línea 14
ECHO (echo) - línea 15
STRING ("Hola, soy ") - línea 15
CONCAT (.) - línea 15
VARIABLE ($this) - línea 15
MINUS (-) - línea 15
GT (>) - línea 15
ID (nombre) - línea 15
CONCAT (.) - línea 15
STRING (" y tengo ") - línea 15
CONCAT (.) - línea 15
VARIABLE ($this) - línea 15
MINUS (-) - línea 15
GT (>) - línea 15
ID (edad) - línea 15
CONCAT (.) - línea 15
STRING (" años.") - línea 15
SEMICOLON (;) - línea 15
RBRACE (}) - línea 16
RBRACE (}) - línea 17
VARIABLE ($alumno) - línea 19
ASSIGN (=) - línea 19
NEW (new) - línea 19
ID (Persona) - línea 19
LPAREN (() - línea 19
STRING ("Luis") - línea 19
COMMA (,) - línea 19
NUMBER (20) - línea 19
RPAREN ()) - línea 19
SEMICOLON (;) - línea 19
VARIABLE ($alumno) - línea 20
MINUS (-) - línea 20
GT (>) - línea 20
ID (saludar) - línea 20
LPAREN (() - línea 20
RPAREN ()) - línea 20
SEMICOLON (;) - línea 20
ID (edad) - línea 21
ASSIGN (=) - línea 21
NUMBER (20) - línea 21
SEMICOLON (;) - línea 21
PHP_CLOSE (?>) - línea 23
