Tokens de entrada_usuario_temp.php (usuario: JosephMiranda87):

PHP_OPEN (<?php) - línea 1
VARIABLE ($texto) - línea 2
ASSIGN (=) - línea 2
STRING ("Hola mundo") - línea 2
SEMICOLON (;) - línea 2
VARIABLE ($texto) - línea 5
ASSIGN (=) - línea 5
STRING ("Otro texto") - línea 5
SEMICOLON (;) - línea 5
VARIABLE ($texto) - línea 8
ASSIGN (=) - línea 8
NUMBER (5) - línea 8
PLUS (+) - línea 8
FLOAT (7.8) - línea 8
SEMICOLON (;) - línea 8
VARIABLE ($numero) - línea 10
ASSIGN (=) - línea 10
NUMBER (10) - línea 10
SEMICOLON (;) - línea 10
VARIABLE ($otro) - línea 11
ASSIGN (=) - línea 11
NUMBER (20) - línea 11
SEMICOLON (;) - línea 11
IF (if) - línea 14
LPAREN (() - línea 14
VARIABLE ($numero) - línea 14
GT (>) - línea 14
VARIABLE ($otro) - línea 14
RPAREN ()) - línea 14
LBRACE ({) - línea 14
ECHO (echo) - línea 15
STRING ("OK") - línea 15
SEMICOLON (;) - línea 15
RBRACE (}) - línea 16
IF (if) - línea 19
LPAREN (() - línea 19
VARIABLE ($numero) - línea 19
GT (>) - línea 19
STRING ("texto") - línea 19
RPAREN ()) - línea 19
LBRACE ({) - línea 19
ECHO (echo) - línea 20
STRING ("Comparación rara") - línea 20
SEMICOLON (;) - línea 20
RBRACE (}) - línea 21
VARIABLE ($numeros) - línea 24
ASSIGN (=) - línea 24
ARRAY (array) - línea 24
LPAREN (() - línea 24
NUMBER (1) - línea 24
COMMA (,) - línea 24
NUMBER (2) - línea 24
COMMA (,) - línea 24
NUMBER (3) - línea 24
RPAREN ()) - línea 24
SEMICOLON (;) - línea 24
VARIABLE ($palabras) - línea 25
ASSIGN (=) - línea 25
ARRAY (array) - línea 25
LPAREN (() - línea 25
STRING ("hola") - línea 25
COMMA (,) - línea 25
STRING ("mundo") - línea 25
RPAREN ()) - línea 25
SEMICOLON (;) - línea 25
IF (if) - línea 28
LPAREN (() - línea 28
VARIABLE ($numeros) - línea 28
LBRACKET ([) - línea 28
NUMBER (0) - línea 28
RBRACKET (]) - línea 28
GT (>) - línea 28
NUMBER (0) - línea 28
RPAREN ()) - línea 28
LBRACE ({) - línea 28
ECHO (echo) - línea 29
STRING ("Primer número es positivo") - línea 29
SEMICOLON (;) - línea 29
RBRACE (}) - línea 30
ELSE (else) - línea 30
LBRACE ({) - línea 30
ECHO (echo) - línea 31
STRING ("Primer número no es positivo") - línea 31
SEMICOLON (;) - línea 31
RBRACE (}) - línea 32
FUNCTION (function) - línea 35
ID (saludar) - línea 35
LPAREN (() - línea 35
VARIABLE ($nombre) - línea 35
RPAREN ()) - línea 35
LBRACE ({) - línea 35
RETURN (return) - línea 36
STRING ("Hola, ") - línea 36
CONCAT (.) - línea 36
VARIABLE ($nombre) - línea 36
SEMICOLON (;) - línea 36
RBRACE (}) - línea 37
ECHO (echo) - línea 38
ID (saludar) - línea 38
LPAREN (() - línea 38
STRING ("Joseph") - línea 38
RPAREN ()) - línea 38
SEMICOLON (;) - línea 38
VARIABLE ($suma) - línea 41
ASSIGN (=) - línea 41
NUMBER (5) - línea 41
PLUS (+) - línea 41
NUMBER (3) - línea 41
SEMICOLON (;) - línea 41
VARIABLE ($suma_error) - línea 44
ASSIGN (=) - línea 44
NUMBER (5) - línea 44
PLUS (+) - línea 44
STRING ("texto") - línea 44
SEMICOLON (;) - línea 44
VARIABLE ($mensaje) - línea 47
ASSIGN (=) - línea 47
STRING ("Hola mundo") - línea 47
SEMICOLON (;) - línea 47
VARIABLE ($mensaje) - línea 48
ASSIGN (=) - línea 48
NUMBER (5) - línea 48
SEMICOLON (;) - línea 48
VARIABLE ($resultado_error) - línea 51
ASSIGN (=) - línea 51
VARIABLE ($numeros) - línea 51
PLUS (+) - línea 51
NUMBER (5) - línea 51
SEMICOLON (;) - línea 51
PHP_CLOSE (?>) - línea 53
