Tokens de algoritmo1.php (usuario: JosephMiranda87):

LT (<) - línea 1
LPAREN (() - línea 2
ID ($notas) - línea 2
RPAREN ()) - línea 2
LBRACE ({) - línea 2
ID ($total) - línea 3
ASSIGN (=) - línea 3
SEMICOLON (;) - línea 3
LPAREN (() - línea 4
ID ($notas) - línea 4
ID ($nota) - línea 4
RPAREN ()) - línea 4
LBRACE ({) - línea 4
ID ($total) - línea 5
PLUSEQ (+=) - línea 5
ID ($nota) - línea 5
SEMICOLON (;) - línea 5
RBRACE (}) - línea 6
ID ($total) - línea 7
DIVIDE (/) - línea 7
LPAREN (() - línea 7
ID ($notas) - línea 7
RPAREN ()) - línea 7
SEMICOLON (;) - línea 7
RBRACE (}) - línea 8
ID ($notas) - línea 10
ASSIGN (=) - línea 10
LPAREN (() - línea 10
COMMA (,) - línea 10
FLOAT (7.5) - línea 10
COMMA (,) - línea 10
RPAREN ()) - línea 10
SEMICOLON (;) - línea 10
ID ($promedio) - línea 11
ASSIGN (=) - línea 11
LPAREN (() - línea 11
ID ($notas) - línea 11
RPAREN ()) - línea 11
SEMICOLON (;) - línea 11
LPAREN (() - línea 13
ID ($promedio) - línea 13
GE (>=) - línea 13
RPAREN ()) - línea 13
LBRACE ({) - línea 13
SEMICOLON (;) - línea 14
RBRACE (}) - línea 15
LBRACE ({) - línea 15
SEMICOLON (;) - línea 16
RBRACE (}) - línea 17
GT (>) - línea 18
