Tokens de algoritmo2_2.php (usuario: JosephMiranda87):

PHP_OPEN (<?php) - línea 1
CLASS (class) - línea 2
ID (Persona) - línea 2
LBRACE ({) - línea 2
VARIABLE ($nombre) - línea 3
SEMICOLON (;) - línea 3
FUNCTION (function) - línea 5
ID (saludar) - línea 5
LPAREN (() - línea 5
RPAREN ()) - línea 5
LBRACE ({) - línea 5
RETURN (return) - línea 6
STRING ("Hola, ") - línea 6
CONCAT (.) - línea 6
VARIABLE ($this) - línea 6
MINUS (-) - línea 6
GT (>) - línea 6
ID (nombre) - línea 6
SEMICOLON (;) - línea 6
RBRACE (}) - línea 7
RBRACE (}) - línea 8
VARIABLE ($lista) - línea 10
ASSIGN (=) - línea 10
LBRACKET ([) - línea 10
STRING ("Ana") - línea 10
COMMA (,) - línea 10
STRING ("Luis") - línea 10
RBRACKET (]) - línea 10
SEMICOLON (;) - línea 10
FOR (for) - línea 11
LPAREN (() - línea 11
VARIABLE ($i) - línea 11
ASSIGN (=) - línea 11
NUMBER (0) - línea 11
SEMICOLON (;) - línea 11
VARIABLE ($i) - línea 11
LT (<) - línea 11
NUMBER (2) - línea 11
SEMICOLON (;) - línea 11
VARIABLE ($i) - línea 11
INCR (++) - línea 11
RPAREN ()) - línea 11
LBRACE ({) - línea 11
ECHO (echo) - línea 12
VARIABLE ($lista) - línea 12
LBRACKET ([) - línea 12
VARIABLE ($i) - línea 12
RBRACKET (]) - línea 12
CONCAT (.) - línea 12
STRING ("\n") - línea 12
SEMICOLON (;) - línea 12
RBRACE (}) - línea 13
PHP_CLOSE (?>) - línea 14
