Tokens de algoritmo3.php (usuario: SteevenGD):

ID ($contador) - línea 5
ASSIGN (=) - línea 5
NUMBER (0) - línea 5
PUNTOYCOMA (;) - línea 5
ID ($limite) - línea 6
ASSIGN (=) - línea 6
NUMBER (5) - línea 6
PUNTOYCOMA (;) - línea 6
FUNCTION (function) - línea 8
ID (mensaje) - línea 8
PARENIZQ (() - línea 8
ID ($nombre) - línea 8
PARENDER ()) - línea 8
LLAVEIZQ ({) - línea 8
RETURN (return) - línea 9
STRING ("Hola, ") - línea 9
CONCAT (.) - línea 9
ID ($nombre) - línea 9
CONCAT (.) - línea 9
STRING ("!") - línea 9
PUNTOYCOMA (;) - línea 9
LLAVEDER (}) - línea 10
ID ($nombreUsuario) - línea 12
ASSIGN (=) - línea 12
STRING ("Luis") - línea 12
PUNTOYCOMA (;) - línea 12
ECHO (echo) - línea 13
ID (mensaje) - línea 13
PARENIZQ (() - línea 13
ID ($nombreUsuario) - línea 13
PARENDER ()) - línea 13
CONCAT (.) - línea 13
STRING ("\n") - línea 13
PUNTOYCOMA (;) - línea 13
ID ($pares) - línea 15
ASSIGN (=) - línea 15
ID (array) - línea 15
PARENIZQ (() - línea 15
PARENDER ()) - línea 15
PUNTOYCOMA (;) - línea 15
WHILE (while) - línea 17
PARENIZQ (() - línea 17
ID ($contador) - línea 17
LT (<) - línea 17
ID ($limite) - línea 17
PARENDER ()) - línea 17
LLAVEIZQ ({) - línea 17
IF (if) - línea 18
PARENIZQ (() - línea 18
ID ($contador) - línea 18
MOD (%) - línea 18
NUMBER (2) - línea 18
EQ (==) - línea 18
NUMBER (0) - línea 18
PARENDER ()) - línea 18
LLAVEIZQ ({) - línea 18
ID ($pares) - línea 19
CORCHETEIZQ ([) - línea 19
CORCHETEDER (]) - línea 19
ASSIGN (=) - línea 19
ID ($contador) - línea 19
PUNTOYCOMA (;) - línea 19
ECHO (echo) - línea 20
STRING ("Par encontrado: ") - línea 20
CONCAT (.) - línea 20
ID ($contador) - línea 20
CONCAT (.) - línea 20
STRING ("\n") - línea 20
PUNTOYCOMA (;) - línea 20
LLAVEDER (}) - línea 21
ELSE (else) - línea 21
LLAVEIZQ ({) - línea 21
ECHO (echo) - línea 22
STRING ("Impar: ") - línea 22
CONCAT (.) - línea 22
ID ($contador) - línea 22
CONCAT (.) - línea 22
STRING ("\n") - línea 22
PUNTOYCOMA (;) - línea 22
LLAVEDER (}) - línea 23
ID ($contador) - línea 24
INCR (++) - línea 24
PUNTOYCOMA (;) - línea 24
LLAVEDER (}) - línea 25
ID ($sum) - línea 27
ASSIGN (=) - línea 27
NUMBER (0) - línea 27
PUNTOYCOMA (;) - línea 27
FOR (for) - línea 28
PARENIZQ (() - línea 28
ID ($i) - línea 28
ASSIGN (=) - línea 28
NUMBER (0) - línea 28
PUNTOYCOMA (;) - línea 28
ID ($i) - línea 28
LT (<) - línea 28
ID (count) - línea 28
PARENIZQ (() - línea 28
ID ($pares) - línea 28
PARENDER ()) - línea 28
PUNTOYCOMA (;) - línea 28
ID ($i) - línea 28
INCR (++) - línea 28
PARENDER ()) - línea 28
LLAVEIZQ ({) - línea 28
ID ($sum) - línea 29
PLUSEQ (+=) - línea 29
ID ($pares) - línea 29
CORCHETEIZQ ([) - línea 29
ID ($i) - línea 29
CORCHETEDER (]) - línea 29
PUNTOYCOMA (;) - línea 29
LLAVEDER (}) - línea 30
ECHO (echo) - línea 32
STRING ("Suma de pares: ") - línea 32
CONCAT (.) - línea 32
ID ($sum) - línea 32
CONCAT (.) - línea 32
STRING ("\n") - línea 32
PUNTOYCOMA (;) - línea 32
