Tokens de algoritmos2_3.php (usuario: steevenGD):

PHP_OPEN (<?php) - línea 1
RETURN (return) - línea 4
NUMBER (42) - línea 4
SEMICOLON (;) - línea 4
ID (break) - línea 7
SEMICOLON (;) - línea 7
ID (continue) - línea 10
SEMICOLON (;) - línea 10
FUNCTION (function) - línea 12
ID (prueba) - línea 12
LPAREN (() - línea 12
RPAREN ()) - línea 12
LBRACE ({) - línea 12
RETURN (return) - línea 14
STRING ("OK") - línea 14
SEMICOLON (;) - línea 14
RBRACE (}) - línea 15
WHILE (while) - línea 17
LPAREN (() - línea 17
TRUE (true) - línea 17
RPAREN ()) - línea 17
LBRACE ({) - línea 17
ID (break) - línea 19
SEMICOLON (;) - línea 19
ID (continue) - línea 20
SEMICOLON (;) - línea 20
RBRACE (}) - línea 21
PHP_CLOSE (?>) - línea 23
